version,date,comment
1.1,"February 9, 2023",Initial publication of first public version
1.2,Not published,Various miscellaneous changes
1.3,"May 29, 2026","Refined DNS Abuse Techniques Matrix terminology, definitions, and categorization for improved clarity and consistency across abuse technique descriptions. Refer to CHANGES.md file for detailed updates"
